timestamp_iso,pc_host,device_name,ip,on,today_kwh,month_kwh,current_power_w,voltage_v,current_a,cloud_connected,rssi,ssid,device_time,firmware,model,alias,mac,today_kwh_delta,month_kwh_delta,power_avg_w_since_last
2026-05-16T11:14:56,SGN-00008,8472,192.168.6.157,True,0.043,37.672,1.3,118.2,0.09,True,-54,Trees-Guest,2026-05-16 11:15:06-07:00,1.2.5 Build 241213 Rel.172504,KP125M,8472,A8:29:48:23:52:1F,0.043,0.565,2.5
2026-05-16T11:14:56,SGN-00008,8475,192.168.6.61,True,0.05,44.49,1.3,118.4,0.09,True,-57,Trees-Guest,2026-05-16 11:15:07-07:00,1.2.5 Build 241213 Rel.172504,KP125M,8475,A8:29:48:23:54:DC,0.05,1.659,2.9
2026-05-16T11:14:56,SGN-00008,8480,192.168.6.114,True,0.049,38.372,1.3,119.1,0.09,True,-52,Trees-Guest,2026-05-16 11:15:08-07:00,1.2.5 Build 241213 Rel.172504,KP125M,8480,A8:29:48:23:5D:DC,0.049,1.065,2.9
2026-05-16T11:14:56,SGN-00008,8631,192.168.6.97,True,0.065,31.219,1.6,118.2,0.09,True,-73,Trees-Guest,2026-05-16 11:15:09-07:00,1.2.5 Build 241213 Rel.172504,KP125M,8631,6C:4C:BC:43:69:C7,0.065,0.503,3.8
2026-05-16T11:14:56,SGN-00008,8632,192.168.6.132,True,0.063,38.083,1.6,118.2,0.09,True,-60,Trees-Guest,2026-05-16 11:15:10-07:00,1.2.5 Build 241213 Rel.172504,KP125M,8632,6C:4C:BC:43:80:FB,0.063,0.072,3.7
2026-05-16T11:14:56,SGN-00008,8633,192.168.6.140,True,0.066,26.502,1.5,117.8,0.1,True,-64,Trees-Guest,2026-05-16 11:15:11-07:00,1.2.5 Build 241213 Rel.172504,KP125M,8633,6C:4C:BC:43:69:D1,0.066,0.075,3.8
2026-05-16T11:25:16,SGN-00008,8431,192.168.6.194,True,0.111,42.128,14.9,117.6,0.27,True,-56,Trees-Guest,2026-05-16 11:25:22-07:00,1.2.5 Build 241213 Rel.172504,KP125M,8431,A8:29:48:23:4C:9C,0.002,0.002,11.6
2026-05-16T11:25:16,SGN-00008,8432,192.168.6.133,True,0.047,33.823,1.4,117.5,0.2,True,-63,Trees-Guest,2026-05-16 11:25:24-07:00,1.2.5 Build 241213 Rel.172504,KP125M,8432,A8:29:48:23:52:E1,0.0,0.0,0.0
2026-05-16T11:25:16,SGN-00008,8433,192.168.6.144,True,0.117,17.692,4.9,117.3,0.23,True,-63,Trees-Guest,2026-05-16 11:25:24-07:00,1.2.5 Build 241213 Rel.172504,KP125M,8433,A8:29:48:23:54:40,0.001,0.001,5.8
2026-05-16T11:25:16,SGN-00008,8472,192.168.6.157,True,0.043,37.672,1.2,117.8,0.09,True,-54,Trees-Guest,2026-05-16 11:25:25-07:00,1.2.5 Build 241213 Rel.172504,KP125M,8472,A8:29:48:23:52:1F,0.0,0.0,0.0
