Date,Location,Robot,Item,Version,Robot Time On During Day,Robot Time In Motion During Day,Miles Traveled during day,Utilization,Source
2024-10-11,sierra-gold,8433,,6.6.4,8:38,1:34,4.2,0.181467,SG_2024_Metrics.csv
2024-10-14,sierra-gold,8431,,6.6.4,8:17,2:01,5.3,0.243461,SG_2024_Metrics.csv
2024-10-14,sierra-gold,8432,,6.6.4,8:16,2:00,5.3,0.241935,SG_2024_Metrics.csv
2024-10-14,sierra-gold,8433,,6.6.4,8:16,2:09,5.3,0.260081,SG_2024_Metrics.csv
2024-10-15,sierra-gold,8431,,6.6.4,8:26,2:05,5.4,0.247036,SG_2024_Metrics.csv
2024-10-15,sierra-gold,8432,,6.6.4,8:15,2:01,5.3,0.244444,SG_2024_Metrics.csv
2024-10-15,sierra-gold,8433,,6.6.4,8:14,1:56,4.9,0.234818,SG_2024_Metrics.csv
2024-10-16,sierra-gold,8431,,6.6.4,8:11,1:46,4.5,0.215886,SG_2024_Metrics.csv
2024-10-16,sierra-gold,8432,,6.6.4,8:11,1:51,4.8,0.226069,SG_2024_Metrics.csv
2024-10-16,sierra-gold,8433,,6.6.4,7:54,1:43,4.3,0.2173,SG_2024_Metrics.csv
2024-10-17,sierra-gold,8431,,6.6.4,8:15,2:02,5.2,0.246465,SG_2024_Metrics.csv
2024-10-17,sierra-gold,8432,,6.6.4,8:15,2:02,5.3,0.246465,SG_2024_Metrics.csv
2024-10-17,sierra-gold,8433,,6.6.4,8:16,2:08,5.3,0.258065,SG_2024_Metrics.csv
2024-10-18,sierra-gold,8431,,6.7.4,8:31,2:27,5.4,0.287671,SG_2024_Metrics.csv
2024-10-18,sierra-gold,8432,,6.6.4,8:42,2:35,6,0.296935,SG_2024_Metrics.csv
2024-10-18,sierra-gold,8433,,6.6.4,0:30,0:08,0.3,0.266667,SG_2024_Metrics.csv
2024-10-21,sierra-gold,8431,,6.7.4,8:29,2:38,5.9,0.310413,SG_2024_Metrics.csv
2024-10-21,sierra-gold,8432,,6.6.4,8:43,2:38,6.2,0.302103,SG_2024_Metrics.csv
2024-10-21,sierra-gold,8433,,6.6.4,5:04,1:10,2.8,0.230263,SG_2024_Metrics.csv
2024-10-22,sierra-gold,8431,,6.7.4,3:52,0:46,2.1,0.198276,SG_2024_Metrics.csv
2024-10-22,sierra-gold,8432,,6.7.4,8:30,2:18,6.8,0.270588,SG_2024_Metrics.csv
2024-10-22,sierra-gold,8433,,6.7.4,8:30,2:04,5.9,0.243137,SG_2024_Metrics.csv
2024-10-23,sierra-gold,8432,,6.7.4,8:36,2:40,6.6,0.310078,SG_2024_Metrics.csv
2024-10-23,sierra-gold,8433,,6.7.4,8:36,3:01,7.4,0.350775,SG_2024_Metrics.csv
2024-10-24,sierra-gold,8431,,6.7.4,2:32,0:48,2,0.315789,SG_2024_Metrics.csv
2024-10-24,sierra-gold,8432,,6.7.4,8:34,3:10,7.9,0.36965,SG_2024_Metrics.csv
2024-10-24,sierra-gold,8433,,6.7.4,8:34,3:22,8.4,0.392996,SG_2024_Metrics.csv
2024-10-25,sierra-gold,8431,,6.7.4,7:54,2:45,7.5,0.348101,SG_2024_Metrics.csv
2024-10-25,sierra-gold,8432,,6.7.4,8:07,2:47,7.5,0.342916,SG_2024_Metrics.csv
2024-10-25,sierra-gold,8433,,6.7.4,8:15,2:49,7.5,0.341414,SG_2024_Metrics.csv
2024-10-28,sierra-gold,8431,,6.7.4,8:34,2:15,6.1,0.262646,SG_2024_Metrics.csv
2024-10-28,sierra-gold,8432,,6.7.4,8:35,2:09,5.9,0.250485,SG_2024_Metrics.csv
2024-10-28,sierra-gold,8433,,6.7.4,8:30,2:17,5.8,0.268627,SG_2024_Metrics.csv
2024-10-29,sierra-gold,8431,,6.7.4,8:22,2:15,6.1,0.268924,SG_2024_Metrics.csv
2024-10-29,sierra-gold,8432,,6.7.4,7:54,2:10,5.9,0.274262,SG_2024_Metrics.csv
2024-10-29,sierra-gold,8433,,6.7.4,8:22,2:13,6.1,0.26494,SG_2024_Metrics.csv
2024-10-30,sierra-gold,8431,,6.7.4,4:54,1:22,3.6,0.278912,SG_2024_Metrics.csv
2024-10-30,sierra-gold,8432,,6.7.4,3:13,0:52,2.2,0.26943,SG_2024_Metrics.csv
2024-10-30,sierra-gold,8433,,6.7.4,5:27,1:23,3.7,0.253823,SG_2024_Metrics.csv
2024-10-31,sierra-gold,8431,,6.7.4,8:14,2:46,8.1,0.336032,SG_2024_Metrics.csv
2024-10-31,sierra-gold,8433,,6.7.4,8:15,2:58,8.5,0.359596,SG_2024_Metrics.csv
2024-11-01,sierra-gold,8431,,6.7.4,3:52,0:41,1.7,0.176724,SG_2024_Metrics.csv
2024-11-01,sierra-gold,8432,,6.7.4,4:29,0:43,1.9,0.159851,SG_2024_Metrics.csv
2024-11-01,sierra-gold,8433,,6.7.4,4:24,0:58,2.6,0.219697,SG_2024_Metrics.csv
2024-11-05,sierra-gold,8431,,6.7.4,8:41,1:39,4.1,0.190019,SG_2024_Metrics.csv
2024-11-05,sierra-gold,8432,,6.7.4,8:18,1:31,3.7,0.182731,SG_2024_Metrics.csv
2024-11-05,sierra-gold,8433,,6.7.4,8:38,1:50,4.4,0.212355,SG_2024_Metrics.csv
2024-11-06,sierra-gold,8431,,6.7.4,4:20,1:30,3.7,0.346154,SG_2024_Metrics.csv
2024-11-06,sierra-gold,8432,,6.7.4,4:58,1:44,4.3,0.348993,SG_2024_Metrics.csv
2024-11-06,sierra-gold,8433,,6.7.4,5:27,1:43,4.2,0.314985,SG_2024_Metrics.csv
2024-11-07,sierra-gold,8431,,6.7.4,8:25,1:47,4.3,0.211881,SG_2024_Metrics.csv
2024-11-07,sierra-gold,8432,,6.7.4,8:34,1:46,4.3,0.206226,SG_2024_Metrics.csv
2024-11-07,sierra-gold,8433,,6.7.4,7:59,1:38,4.1,0.204593,SG_2024_Metrics.csv
2024-11-08,sierra-gold,8431,,6.7.4,8:24,1:32,3.9,0.18254,SG_2024_Metrics.csv
2024-11-08,sierra-gold,8432,,6.7.4,8:32,1:18,3.3,0.152344,SG_2024_Metrics.csv
2024-11-08,sierra-gold,8433,,6.7.4,8:23,1:37,4.3,0.192843,SG_2024_Metrics.csv
2024-11-09,sierra-gold,8431,,6.7.4,8:39,2:42,7.6,0.312139,SG_2024_Metrics.csv
2024-11-09,sierra-gold,8432,,6.7.4,8:42,2:06,6.4,0.241379,SG_2024_Metrics.csv
2024-11-09,sierra-gold,8433,,6.7.4,8:39,2:39,7.8,0.306358,SG_2024_Metrics.csv
2024-11-11,sierra-gold,8431,,6.7.4,8:19,1:30,3.9,0.180361,SG_2024_Metrics.csv
2024-11-11,sierra-gold,8432,,6.7.4,8:30,1:50,4.7,0.215686,SG_2024_Metrics.csv
2024-11-11,sierra-gold,8433,,6.7.4,8:21,1:51,4.7,0.221557,SG_2024_Metrics.csv
2024-11-12,sierra-gold,8431,,6.7.4,8:07,0:59,2.9,0.12115,SG_2024_Metrics.csv
2024-11-12,sierra-gold,8432,,6.7.4,8:06,1:23,4,0.170782,SG_2024_Metrics.csv
2024-11-12,sierra-gold,8433,,6.7.4,8:20,0:46,2.2,0.092,SG_2024_Metrics.csv
2024-11-13,sierra-gold,8431,,6.7.4,8:07,1:18,3.5,0.160164,SG_2024_Metrics.csv
2024-11-13,sierra-gold,8432,,6.7.4,7:19,1:15,2.9,0.170843,SG_2024_Metrics.csv
2024-11-13,sierra-gold,8433,,6.7.4,7:54,1:23,3.9,0.175105,SG_2024_Metrics.csv
2024-11-14,sierra-gold,8431,,6.7.4,8:12,1:09,3,0.140244,SG_2024_Metrics.csv
2024-11-14,sierra-gold,8432,,6.9.4,8:15,2:08,5.7,0.258586,SG_2024_Metrics.csv
2024-11-14,sierra-gold,8433,,6.7.4,8:08,1:08,2.9,0.139344,SG_2024_Metrics.csv
2024-11-15,sierra-gold,8431,,6.9.4,8:07,1:02,3.1,0.12731,SG_2024_Metrics.csv
2024-11-15,sierra-gold,8432,,6.9.4,8:32,1:27,4.9,0.169922,SG_2024_Metrics.csv
2024-11-15,sierra-gold,8433,,6.9.4,8:14,1:16,4.2,0.153846,SG_2024_Metrics.csv
2024-11-16,sierra-gold,8431,,6.9.4,8:13,1:35,4,0.192698,SG_2024_Metrics.csv
2024-11-16,sierra-gold,8432,,6.9.4,8:07,1:39,4.2,0.203285,SG_2024_Metrics.csv
2024-11-16,sierra-gold,8433,,6.9.4,1:43,0:21,0.7,0.203883,SG_2024_Metrics.csv
2024-11-18,sierra-gold,8431,,6.9.4,8:11,2:05,4.3,0.254582,SG_2024_Metrics.csv
2024-11-18,sierra-gold,8432,,6.9.4,8:36,2:31,5.5,0.292636,SG_2024_Metrics.csv
2024-11-19,sierra-gold,8431,,6.9.4,8:25,2:51,7.1,0.338614,SG_2024_Metrics.csv
2024-11-19,sierra-gold,8432,,6.9.4,8:37,2:45,7.3,0.319149,SG_2024_Metrics.csv
2024-11-21,sierra-gold,8431,,6.9.4,0:13,0:00,0,0,SG_2024_Metrics.csv
2024-11-21,sierra-gold,8432,,6.9.4,0:13,0:00,0,0,SG_2024_Metrics.csv
2024-11-21,sierra-gold,8433,,6.9.4,1:17,0:00,0,0,SG_2024_Metrics.csv
2024-11-22,sierra-gold,8433,,6.9.4,5:34,0:36,1.2,0.107784,SG_2024_Metrics.csv
2024-11-26,sierra-gold,8433,,6.9.4,0:19,0:13,0.5,0.684211,SG_2024_Metrics.csv
